"품목명","품종명","시군구","마켓명","연도","날짜","가격"
"토마토","토마토(10kg)","서울","가락도매","2013","01/02","29,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/03","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/04","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/07","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/08","27,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/09","27,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/10","27,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/11","27,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/14","25,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/15","25,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/16","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/17","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/18","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/21","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/22","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/23","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/24","35,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/25","35,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/28","35,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/29","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/30","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","01/31","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/01","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/04","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/05","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/06","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/07","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/08","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/12","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/13","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/14","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/15","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/18","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/19","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/20","40,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/21","40,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/22","37,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/25","37,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/26","37,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/27","37,000"
"토마토","토마토(10kg)","서울","가락도매","2013","02/28","37,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/04","37,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/05","37,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/06","37,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/07","37,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/08","37,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/11","37,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/12","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/13","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/14","32,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/15","32,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/18","33,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/19","33,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/20","33,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/21","33,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/22","33,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/25","33,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/26","33,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/27","33,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/28","33,000"
"토마토","토마토(10kg)","서울","가락도매","2013","03/29","35,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/01","40,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/02","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/03","32,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/04","32,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/05","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/08","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/09","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/10","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/11","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/12","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/15","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/16","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/17","27,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/18","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/19","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/22","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/23","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/24","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/25","32,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/26","32,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/29","32,000"
"토마토","토마토(10kg)","서울","가락도매","2013","04/30","32,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/02","26,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/03","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/06","31,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/07","26,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/08","24,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/09","22,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/10","23,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/13","21,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/14","21,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/15","21,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/16","20,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/20","20,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/21","18,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/22","18,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/23","17,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/24","18,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/27","18,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/28","20,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/29","20,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/30","20,000"
"토마토","토마토(10kg)","서울","가락도매","2013","05/31","18,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/03","17,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/04","18,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/05","18,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/07","17,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/10","19,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/11","18,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/12","16,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/13","14,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/14","12,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/17","11,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/18","10,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/19","11,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/20","12,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/21","10,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/24","12,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/25","15,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/26","18,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/27","18,000"
"토마토","토마토(10kg)","서울","가락도매","2013","06/28","18,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/01","20,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/02","20,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/03","20,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/04","21,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/05","21,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/08","20,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/09","20,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/10","21,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/11","20,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/12","19,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/15","19,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/16","18,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/17","18,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/18","18,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/19","22,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/22","22,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/23","27,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/24","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/25","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/26","32,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/29","32,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/30","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","07/31","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/01","26,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/02","26,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/05","24,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/06","26,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/07","26,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/08","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/09","33,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/12","33,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/13","33,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/14","33,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/16","33,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/19","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/20","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/21","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/22","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/23","32,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/26","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/27","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/28","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/29","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","08/30","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/02","33,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/03","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/04","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/05","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/06","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/09","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/10","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/11","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/12","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/13","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/16","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/17","32,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/23","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/24","26,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/25","26,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/26","27,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/27","27,000"
"토마토","토마토(10kg)","서울","가락도매","2013","09/30","24,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/01","24,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/02","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/04","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/07","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/08","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/10","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/11","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/14","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/15","25,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/16","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/17","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/18","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/21","27,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/22","26,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/23","26,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/24","30,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/25","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/28","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/29","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/30","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","10/31","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/01","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/04","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/05","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/06","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/07","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/08","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/11","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/12","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/13","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/14","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/15","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/18","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/19","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/20","28,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/21","42,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/22","42,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/25","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/26","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/27","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/28","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","11/29","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/02","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/03","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/04","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/05","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/06","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/09","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/10","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/11","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/12","40,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/13","40,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/16","40,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/17","35,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/18","40,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/19","40,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/20","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/23","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/24","38,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/26","36,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/27","34,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/30","34,000"
"토마토","토마토(10kg)","서울","가락도매","2013","12/31","35,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/02","34,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/03","34,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/06","34,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/07","34,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/08","36,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/09","36,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/10","36,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/13","36,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/14","36,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/15","36,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/16","36,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/17","34,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/20","34,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/21","34,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/22","34,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/23","34,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/24","34,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/27","34,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/28","34,000"
"토마토","토마토(10kg)","서울","가락도매","2014","01/29","34,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/03","34,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/04","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/05","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/06","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/07","35,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/10","35,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/11","35,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/12","35,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/13","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/14","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/17","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/18","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/19","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/20","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/21","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/24","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/25","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/26","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/27","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","02/28","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/03","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/04","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/05","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/06","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/07","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/10","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/11","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/12","40,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/13","35,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/14","30,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/17","28,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/18","28,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/19","28,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/20","28,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/21","28,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/24","26,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/25","26,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/26","26,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/27","26,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/28","26,000"
"토마토","토마토(10kg)","서울","가락도매","2014","03/31","26,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/01","26,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/02","26,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/03","26,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/04","28,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/07","28,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/08","28,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/09","30,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/10","30,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/11","30,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/14","30,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/15","30,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/16","30,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/17","30,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/18","27,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/21","25,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/22","25,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/23","25,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/24","30,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/25","30,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/28","28,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/29","28,000"
"토마토","토마토(10kg)","서울","가락도매","2014","04/30","28,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/02","28,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/07","25,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/08","25,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/09","23,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/12","23,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/13","23,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/14","23,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/15","20,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/16","22,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/19","20,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/20","20,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/21","20,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/22","20,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/23","20,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/26","18,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/27","18,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/28","15,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/29","13,000"
"토마토","토마토(10kg)","서울","가락도매","2014","05/30","13,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/02","13,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/03","15,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/05","13,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/09","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/10","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/11","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/12","13,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/13","14,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/16","14,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/17","14,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/18","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/19","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/20","11,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/23","10,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/24","10,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/25","10,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/26","10,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/27","10,000"
"토마토","토마토(10kg)","서울","가락도매","2014","06/30","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/01","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/02","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/03","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/04","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/07","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/08","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/09","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/10","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/11","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/14","10,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/15","11,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/16","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/17","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/18","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/21","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/22","10,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/23","10,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/24","10,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/25","10,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/28","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/29","12,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/30","15,000"
"토마토","토마토(10kg)","서울","가락도매","2014","07/31","15,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/04","15,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/05","15,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/06","15,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/07","15,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/08","15,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/11","15,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/12","15,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/13","15,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/14","15,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/18","15,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/19","15,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/20","15,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/21","16,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/22","18,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/25","18,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/26","16,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/27","16,000"
"토마토","토마토(10kg)","서울","가락도매","2014","08/28","16,000"
